Reaction,Substrate,Substrate_MolWt,Substrate_MolLogP,Substrate_TPSA,Catalyst,Base,Solvent,Solvent_MolWt,Solvent_MolLogP,Solvent_TPSA,Yield
403,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,LiOTMS,DMSO,78.136,-0.0053,17.07,7.4793
404,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,LiOTMS,"1,4-Dioxane",88.106,0.0332,18.46,10.0027
405,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,LiOTMS,t-AmOH,88.15,1.1673,20.23,12.4212
406,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,LiOTMS,DMA,87.122,0.0945,20.31,10.4792
407,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,LiOTMS,Toluene,92.141,1.995,0.0,11.5016
408,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,LiOTMS,2-Me-THF,86.134,1.1853,9.23,9.0192
409,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,NaOtBu,DMSO,78.136,-0.0053,17.07,13.0669
410,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,NaOtBu,"1,4-Dioxane",88.106,0.0332,18.46,15.5902
411,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,NaOtBu,t-AmOH,88.15,1.1673,20.23,18.0087
412,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,NaOtBu,DMA,87.122,0.0945,20.31,16.0667
413,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,NaOtBu,Toluene,92.141,1.995,0.0,17.0891
414,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,NaOtBu,2-Me-THF,86.134,1.1853,9.23,14.6067
415,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,Cs2CO3,DMSO,78.136,-0.0053,17.07,13.1938
416,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,Cs2CO3,"1,4-Dioxane",88.106,0.0332,18.46,25.6061
417,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,Cs2CO3,t-AmOH,88.15,1.1673,20.23,36.6667
418,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,Cs2CO3,DMA,87.122,0.0945,20.31,16.1937
419,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,Cs2CO3,Toluene,92.141,1.995,0.0,30.1515
420,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,Cs2CO3,2-Me-THF,86.134,1.1853,9.23,14.7337
421,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,BTMG,DMSO,78.136,-0.0053,17.07,8.712
422,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,BTMG,"1,4-Dioxane",88.106,0.0332,18.46,11.2353
423,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,BTMG,t-AmOH,88.15,1.1673,20.23,13.6539
424,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,BTMG,DMA,87.122,0.0945,20.31,11.7118
425,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,BTMG,Toluene,92.141,1.995,0.0,12.7342
426,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,BTMG,2-Me-THF,86.134,1.1853,9.23,10.2518
427,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,K3PO4,DMSO,78.136,-0.0053,17.07,8.9789
428,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,K3PO4,"1,4-Dioxane",88.106,0.0332,18.46,0.0
429,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,K3PO4,t-AmOH,88.15,1.1673,20.23,0.0
430,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,K3PO4,DMA,87.122,0.0945,20.31,11.9787
431,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,K3PO4,Toluene,92.141,1.995,0.0,7.9545
432,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,K3PO4,2-Me-THF,86.134,1.1853,9.23,10.5187
433,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,P2Et,DMSO,78.136,-0.0053,17.07,17.34
434,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,P2Et,"1,4-Dioxane",88.106,0.0332,18.46,19.8633
435,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,P2Et,t-AmOH,88.15,1.1673,20.23,22.2819
436,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,P2Et,DMA,87.122,0.0945,20.31,20.3398
437,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,P2Et,Toluene,92.141,1.995,0.0,21.3622
438,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,P2Et,2-Me-THF,86.134,1.1853,9.23,18.8798
439,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,LiOTMS,DMSO,78.136,-0.0053,17.07,12.3622
440,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,LiOTMS,"1,4-Dioxane",88.106,0.0332,18.46,14.8855
441,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,LiOTMS,t-AmOH,88.15,1.1673,20.23,17.304
442,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,LiOTMS,DMA,87.122,0.0945,20.31,15.362
443,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,LiOTMS,Toluene,92.141,1.995,0.0,16.3844
444,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,LiOTMS,2-Me-THF,86.134,1.1853,9.23,13.902
445,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,NaOtBu,DMSO,78.136,-0.0053,17.07,17.9497
446,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,NaOtBu,"1,4-Dioxane",88.106,0.0332,18.46,20.473
447,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,NaOtBu,t-AmOH,88.15,1.1673,20.23,22.8916
448,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,NaOtBu,DMA,87.122,0.0945,20.31,20.9495
449,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,NaOtBu,Toluene,92.141,1.995,0.0,21.972
450,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,NaOtBu,2-Me-THF,86.134,1.1853,9.23,19.4895
451,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,Cs2CO3,DMSO,78.136,-0.0053,17.07,18.0767
452,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,Cs2CO3,"1,4-Dioxane",88.106,0.0332,18.46,20.6
453,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,Cs2CO3,t-AmOH,88.15,1.1673,20.23,23.0185
454,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,Cs2CO3,DMA,87.122,0.0945,20.31,21.0765
455,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,Cs2CO3,Toluene,92.141,1.995,0.0,22.0989
456,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,Cs2CO3,2-Me-THF,86.134,1.1853,9.23,19.6165
457,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,BTMG,DMSO,78.136,-0.0053,17.07,13.5948
458,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,BTMG,"1,4-Dioxane",88.106,0.0332,18.46,16.1181
459,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,BTMG,t-AmOH,88.15,1.1673,20.23,18.5367
460,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,BTMG,DMA,87.122,0.0945,20.31,16.5946
461,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,BTMG,Toluene,92.141,1.995,0.0,17.6171
462,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,BTMG,2-Me-THF,86.134,1.1853,9.23,15.1346
463,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,K3PO4,DMSO,78.136,-0.0053,17.07,13.8617
464,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,K3PO4,"1,4-Dioxane",88.106,0.0332,18.46,16.385
465,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,K3PO4,t-AmOH,88.15,1.1673,20.23,18.8036
466,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,K3PO4,DMA,87.122,0.0945,20.31,16.8615
467,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,K3PO4,Toluene,92.141,1.995,0.0,17.884
468,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g4,K3PO4,2-Me-THF,86.134,1.1853,9.23,15.4015
469,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,P2Et,DMSO,78.136,-0.0053,17.07,15.7492
470,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,P2Et,"1,4-Dioxane",88.106,0.0332,18.46,18.2725
471,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,P2Et,t-AmOH,88.15,1.1673,20.23,20.691
472,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,P2Et,DMA,87.122,0.0945,20.31,18.749
473,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,P2Et,Toluene,92.141,1.995,0.0,19.7714
474,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,P2Et,2-Me-THF,86.134,1.1853,9.23,17.289
475,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,LiOTMS,DMSO,78.136,-0.0053,17.07,10.7713
476,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,LiOTMS,"1,4-Dioxane",88.106,0.0332,18.46,13.2947
477,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,LiOTMS,t-AmOH,88.15,1.1673,20.23,15.7132
478,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,LiOTMS,DMA,87.122,0.0945,20.31,13.7711
479,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,LiOTMS,Toluene,92.141,1.995,0.0,14.7936
480,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,LiOTMS,2-Me-THF,86.134,1.1853,9.23,12.3111
481,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,NaOtBu,DMSO,78.136,-0.0053,17.07,16.3589
482,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,NaOtBu,"1,4-Dioxane",88.106,0.0332,18.46,18.8822
483,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,NaOtBu,t-AmOH,88.15,1.1673,20.23,21.3007
484,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,NaOtBu,DMA,87.122,0.0945,20.31,19.3587
485,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,NaOtBu,Toluene,92.141,1.995,0.0,20.3811
486,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,NaOtBu,2-Me-THF,86.134,1.1853,9.23,17.8987
487,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,Cs2CO3,DMSO,78.136,-0.0053,17.07,16.4858
488,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,Cs2CO3,"1,4-Dioxane",88.106,0.0332,18.46,19.0092
489,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,Cs2CO3,t-AmOH,88.15,1.1673,20.23,21.4277
490,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,Cs2CO3,DMA,87.122,0.0945,20.31,19.4857
491,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,Cs2CO3,Toluene,92.141,1.995,0.0,20.5081
492,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,Cs2CO3,2-Me-THF,86.134,1.1853,9.23,18.0256
493,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,BTMG,DMSO,78.136,-0.0053,17.07,12.004
494,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,BTMG,"1,4-Dioxane",88.106,0.0332,18.46,14.5273
495,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,BTMG,t-AmOH,88.15,1.1673,20.23,16.9458
496,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,BTMG,DMA,87.122,0.0945,20.31,15.0038
497,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,BTMG,Toluene,92.141,1.995,0.0,16.0262
498,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,BTMG,2-Me-THF,86.134,1.1853,9.23,13.5438
499,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,K3PO4,DMSO,78.136,-0.0053,17.07,12.2709
500,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,K3PO4,"1,4-Dioxane",88.106,0.0332,18.46,14.7942
501,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,K3PO4,t-AmOH,88.15,1.1673,20.23,17.2127
502,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,K3PO4,DMA,87.122,0.0945,20.31,15.2707
503,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,K3PO4,Toluene,92.141,1.995,0.0,16.2931
504,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,brettphos-pd-g4,K3PO4,2-Me-THF,86.134,1.1853,9.23,13.8107
505,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,P2Et,DMSO,78.136,-0.0053,17.07,0.0
506,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,P2Et,"1,4-Dioxane",88.106,0.0332,18.46,0.6853
507,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,P2Et,t-AmOH,88.15,1.1673,20.23,3.1039
508,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,P2Et,DMA,87.122,0.0945,20.31,1.1618
509,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,P2Et,Toluene,92.141,1.995,0.0,2.1843
510,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,P2Et,2-Me-THF,86.134,1.1853,9.23,0.0
511,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,LiOTMS,DMSO,78.136,-0.0053,17.07,0.0
512,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,LiOTMS,"1,4-Dioxane",88.106,0.0332,18.46,0.0
513,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,LiOTMS,t-AmOH,88.15,1.1673,20.23,0.0
514,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,LiOTMS,DMA,87.122,0.0945,20.31,0.0
515,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,LiOTMS,Toluene,92.141,1.995,0.0,0.0
516,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,LiOTMS,2-Me-THF,86.134,1.1853,9.23,0.0
517,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,NaOtBu,DMSO,78.136,-0.0053,17.07,0.0
518,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,NaOtBu,"1,4-Dioxane",88.106,0.0332,18.46,1.295
519,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,NaOtBu,t-AmOH,88.15,1.1673,20.23,3.7136
520,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,NaOtBu,DMA,87.122,0.0945,20.31,1.7715
521,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,NaOtBu,Toluene,92.141,1.995,0.0,2.794
522,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,NaOtBu,2-Me-THF,86.134,1.1853,9.23,0.3115
523,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,Cs2CO3,DMSO,78.136,-0.0053,17.07,0.0
524,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,Cs2CO3,"1,4-Dioxane",88.106,0.0332,18.46,1.422
525,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,Cs2CO3,t-AmOH,88.15,1.1673,20.23,3.8405
526,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,Cs2CO3,DMA,87.122,0.0945,20.31,1.8985
527,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,Cs2CO3,Toluene,92.141,1.995,0.0,2.9209
528,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,Cs2CO3,2-Me-THF,86.134,1.1853,9.23,0.4385
529,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,BTMG,DMSO,78.136,-0.0053,17.07,0.0
530,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,BTMG,"1,4-Dioxane",88.106,0.0332,18.46,0.0
531,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,BTMG,t-AmOH,88.15,1.1673,20.23,0.0
532,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,BTMG,DMA,87.122,0.0945,20.31,0.0
533,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,BTMG,Toluene,92.141,1.995,0.0,0.0
534,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,BTMG,2-Me-THF,86.134,1.1853,9.23,0.0
535,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,K3PO4,DMSO,78.136,-0.0053,17.07,0.0
536,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,K3PO4,"1,4-Dioxane",88.106,0.0332,18.46,0.0
537,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,K3PO4,t-AmOH,88.15,1.1673,20.23,0.0
538,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,K3PO4,DMA,87.122,0.0945,20.31,0.0
539,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,K3PO4,Toluene,92.141,1.995,0.0,0.0
540,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,xphos-pd-g3-triflate,K3PO4,2-Me-THF,86.134,1.1853,9.23,0.0
541,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,P2Et,DMSO,78.136,-0.0053,17.07,10.293
542,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,P2Et,"1,4-Dioxane",88.106,0.0332,18.46,12.8164
543,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,P2Et,t-AmOH,88.15,1.1673,20.23,15.2349
544,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,P2Et,DMA,87.122,0.0945,20.31,13.2929
545,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,P2Et,Toluene,92.141,1.995,0.0,14.3153
546,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,P2Et,2-Me-THF,86.134,1.1853,9.23,11.8329
547,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,LiOTMS,DMSO,78.136,-0.0053,17.07,5.3152
548,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,LiOTMS,"1,4-Dioxane",88.106,0.0332,18.46,7.8385
549,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,LiOTMS,t-AmOH,88.15,1.1673,20.23,10.2571
550,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,LiOTMS,DMA,87.122,0.0945,20.31,8.315
551,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,LiOTMS,Toluene,92.141,1.995,0.0,9.3375
552,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,LiOTMS,2-Me-THF,86.134,1.1853,9.23,6.855
553,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,NaOtBu,DMSO,78.136,-0.0053,17.07,10.9028
554,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,NaOtBu,"1,4-Dioxane",88.106,0.0332,18.46,13.4261
555,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,NaOtBu,t-AmOH,88.15,1.1673,20.23,15.8446
556,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,NaOtBu,DMA,87.122,0.0945,20.31,13.9026
557,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,NaOtBu,Toluene,92.141,1.995,0.0,14.925
558,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,NaOtBu,2-Me-THF,86.134,1.1853,9.23,12.4426
559,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,Cs2CO3,DMSO,78.136,-0.0053,17.07,11.0297
560,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,Cs2CO3,"1,4-Dioxane",88.106,0.0332,18.46,13.553
561,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,Cs2CO3,t-AmOH,88.15,1.1673,20.23,15.9716
562,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,Cs2CO3,DMA,87.122,0.0945,20.31,14.0295
563,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,Cs2CO3,Toluene,92.141,1.995,0.0,15.052
564,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,Cs2CO3,2-Me-THF,86.134,1.1853,9.23,12.5695
565,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,BTMG,DMSO,78.136,-0.0053,17.07,6.5479
566,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,BTMG,"1,4-Dioxane",88.106,0.0332,18.46,9.0712
567,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,BTMG,t-AmOH,88.15,1.1673,20.23,11.4897
568,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,BTMG,DMA,87.122,0.0945,20.31,9.5477
569,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,BTMG,Toluene,92.141,1.995,0.0,10.5701
570,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,BTMG,2-Me-THF,86.134,1.1853,9.23,8.0877
571,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,K3PO4,DMSO,78.136,-0.0053,17.07,6.8148
572,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,K3PO4,"1,4-Dioxane",88.106,0.0332,18.46,9.3381
573,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,K3PO4,t-AmOH,88.15,1.1673,20.23,11.7566
574,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,K3PO4,DMA,87.122,0.0945,20.31,9.8146
575,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,K3PO4,Toluene,92.141,1.995,0.0,10.837
576,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,adbrettphos-pd-g3-triflate,K3PO4,2-Me-THF,86.134,1.1853,9.23,8.3546
577,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,P2Et,DMSO,78.136,-0.0053,17.07,0.0
578,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,P2Et,"1,4-Dioxane",88.106,0.0332,18.46,0.3065
579,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,P2Et,t-AmOH,88.15,1.1673,20.23,2.7251
580,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,P2Et,DMA,87.122,0.0945,20.31,0.783
581,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,P2Et,Toluene,92.141,1.995,0.0,1.8055
582,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,P2Et,2-Me-THF,86.134,1.1853,9.23,0.0
583,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,LiOTMS,DMSO,78.136,-0.0053,17.07,0.0
584,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,LiOTMS,"1,4-Dioxane",88.106,0.0332,18.46,0.0
585,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,LiOTMS,t-AmOH,88.15,1.1673,20.23,0.0
586,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,LiOTMS,DMA,87.122,0.0945,20.31,0.0
587,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,LiOTMS,Toluene,92.141,1.995,0.0,0.0
588,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,388.14,2.0472,60.25,cphos-pd-g4,LiOTMS,2-Me-THF,86.134,1.1853,9.23,0.0
